No,Site Name,Structure Type,Country,Nearest Town,Latitude,Longitude,UTM Zone,UTM Easting,UTM Northing ,Start_Year
1,Buzovgrad Megalith,Dolmen, Bulgaria,Kazanlak,42.570363,25.376873,35T,366782,4714383,-6400
2,The Brothers Megalith,Menhir, Bulgaria,Brezovo,42.39114,25.10435,35T,343969,4694946,-6400
3,Staro Zhelezare,Stone circle, Bulgaria,Staro Zhelezare ,42.436861,24.658444,35T,307405,4700939,-6400
4,Perperikon,Neolithic site, Bulgaria,Kurdzhali ,41.712649,25.461502,35T,372012,4619016,-6400
5,Dolni Glavanak,Stone circle, Bulgaria,Dolni Glavanak,41.681889,25.812806,35T,401190,4615139,-6400
6,Zhelezino Dolmen,Dolmen, Bulgaria,Krumovgrad ,41.4784,25.9518,35T,412485,4592396,-6400
7,Long Stone of Číbuz,Menhir, Czech,Smiřice ,50.286084,15.894881,33U,563752,5570823,-5600
8,Kamenný kruh Říčky ,Stone circle, Czech,Rokytnice,50.207931,16.441746,33U,602877,5562744,-5600
9, Lindholm Hoje,Stone circle, Denmark,Aalborg,57.077182,9.912187,32V,555298,6326347,-4000
10,Stara Zagora Neolithic dwellings,Neolithic site, Bulgaria,Stara Zagora ,42.4259,25.61331,35T,385926,4697997,-6400
11,Teglgård Runddysse,Dolmen,Denmark,Ålborg ,56.853515,9.870808,32V,553107,6301418,-4000
12,Rebildhede Hellekiste ,Neolithic site, Denmark,Aalborg,56.832083,9.86115,32V,552548,6299025,-4000
13,Camp dit Castellaras de la Malle,Neolithic site, France,Grasse,43.702027,6.883256,32T,329443,4840956,-5500
14,Dolmen de Verdoline,Dolmen, France, Grasse,43.679348,6.852949,32T,326936,4838500,-5500
15,Crouzes Menhirs,Menhir, France,Saint-Tropez,43.57888,6.72334,32T,316182,4827620,-5500
16,Dolmen de Panassac ,Dolmen, France,Périgueux,45.27898,0.96404,31T,340316,5015959,-5200
17,La Monerie menhir,Menhir, France,Paussac-Saint-Vivien,45.32789,0.54356,31T,307503,5022311,-5200
18,Peyrebrune (Seyssac),Neolithic site, France,Périgueux,45.1952,0.458,31T,300333,5007779,-5200
19,La Peyre de Fonpeyre,Stone circle, France,Bergerac ,44.85121,0.48376,31T,301169,4969502,-5200
20,Menhir de Kerlivio,Menhir, France,Lorient,47.955217,-3.387717,30T,471053,5311396,-5200
21,Allée Couverte de Botquenven,Neolithic site, France,Lorient ,48.039819,-3.460427,30U,465681,5320828,-5200
22,Dolmen de Guidfosse,Dolmen, France,Carhaix-Plouger,48.133924,-3.377907,30U ,471883,5331255,-5200
23,Dhekia Pathar,Dolmen, India,Hazaribagh,24.08976,85.842336,45R,382329,2664650,-6570
24,Punkri Burwadih,Neolithic site, India,Hazaribagh,23.872222,85.243056,44N,302874,2174107,-6570
25,Chaibasa,Menhir, India,Chaibasa ,22.57,85.82,44N,297000,2412000,-6570
26,Chianca di Santo Stefano Trilithon,Neolithic site, Italy, Puglia,40.206425,18.345,34T,274040,4454050,-6500
27,Staurotomea Standing stone,Menhir, Italy, Puglia,40.20402,18.349506,34T,274416,4453771,-6400
28,Placa Dolmen,Dolmen, Italy, Puglia,40.258526,18.309348,34T,271181,4459925,-6400
29,Corte Noa Dolmen,Dolmen, Italy,Laconi ,39.892,9.0208,32S,501778,4415771,-5500
30,Curru Tundu,Menhir, Italy,Nuoro,39.875294,8.900942,32S,491529,4413921,-5500
31,Is Cirquittus Circoli Megalitici ,Stone circle, Italy,Nuoro ,39.85639,8.95944,32S,496531,4411819,-5500
32,Mesadda Domus de Janas,Neolithic site, Italy,Oristano,39.913933,8.894699,32S,491000,4418210,-5500
33,Oppagne Menhirs,Menhir,Belgium,Barvaux,50.32158,5.5133,31U,678906,5577407,-4000
34,Oppagne Dolmen,Dolmen,Belgium,Barvaux,50.32165,5.51303,31U,678887,5577414,-4000
35,Alignement de Danthine,Neolithic site,Belgium,Barvaux,50.32597,5.51696,31U,679150,5577904,-4000
36,Forrières,Stone circle,Belgium,Rochefort ,50.1304,5.2671,31U,662029,5555590,-4000
37,Chuchul Kamak,Menhir,Bulgaria,Harmanli  ,42.010816,25.997306,35T,416973,4651463,-6400
38,Nabta Playa,Stone circle,Egypt, Wadi Halfa,22.5058,30.7303,36Q,266516,2490584,-6400
39,Down Barn,Menhir,England,Wiltshire ,51.424274,-1.814994,30U,582389,5697674,-4000
40,Avebury Down Stone Circle,Stone circle,England,Marlborough,51.440311,-1.836942,30U,580835,5699433,-4000
41,Avebury Down Bell Barrow ,Neolithic site,England,Marlborough,51.437352,-1.842563,30U,580450,5699097,-4000
42,Süntelstein,Menhir,Germany,Belm,52.358167,8.1495,32U,442080,5801216,-4100
43,Teufels Teigtrog ,Neolithic site,Germany,Osnabrück,52.35024,8.15962,32U,442759,5800326,-4100
44,Slopsteine,Dolmen,Germany,Belm,52.31198,8.20118,32U,445543,5796039,-4100
45,Ammes Livathous,Stone circle,Greece,Argostoli ,38.103252,20.511541,34S,457175,4217384,-6400
46, Sesklo,Neolithic site,Greece,Vólos,39.355857,22.842533,34S,658751,4357887,-6400
47, Menhir of Naxos ,Menhir,Greece, Potamia ,37.066885,25.460101,35S,363101,4103401,-6400
48,Dolmen Roussa,Dolmen,Greece,Komotini ,41.299357,26.024081,35T,418296,4572449,-6400
49,Balix standing stone,Menhir,Ireland,Co. Tyrone ,54.802786,-7.279859,29U,610568,6074202,-4000
50,Balix Lower,Neolithic site,Ireland,Co. Tyrone ,54.796896,-7.242027,29U,613016,6073608,-4000
51,Castledamph S,Stone circle,Ireland,Co. Tyrone ,54.776794,-7.189567,29N,661120,5357794,-4000
52,Barnes Gap mound and cist,Dolmen,Ireland,Strabane,54.742318,-7.140103,29U,619729,6067704,-4000
53,Gamla Dolmen field,Dolmen,Israel,Katserin ,32.9063,35.7493,36S,757140,3644253,-6600
54, NEG II Prehistoric Village,Neolithic site,Israel,Tiberias,32.784355,35.663329,36S,749438,3630521,-6600
55,The Gilgal associated  with Joshua,Stone circle,Israel,Antipatris,32.155833,34.952778,36S ,684153,3559379,-6400
56,Ta’ Ċenċ Dolmen III,Dolmen,Malta,Xewkija,36.020129,14.26159,33S,433465,3986433,-6100
57,Ta' Cenc Gallery Grave,Neolithic site,Malta,Valletta,36.0219,14.25578,33S,432943,3986634,-6100
58,L-Imrejzbiet,Stone circle,Malta,Victoria,36.029672,14.284565,33S,435543,3987476,-6100
